"date","mean_daily_discharge_cfs","time_period","name","ID_number"
2024-09-27,67145.8333333333,"2024-2025","FBR_Asheville","03451500"
2024-09-28,68211.5789473684,"2024-2025","FBR_Asheville","03451500"
2024-09-29,36872.9166666667,"2024-2025","FBR_Asheville","03451500"
2024-09-30,17870.8333333333,"2024-2025","FBR_Asheville","03451500"
2024-10-01,10083.6458333333,"2024-2025","FBR_Asheville","03451500"
2024-10-02,6536.14583333333,"2024-2025","FBR_Asheville","03451500"
2024-10-03,4103.33333333333,"2024-2025","FBR_Asheville","03451500"
2024-10-04,3418.125,"2024-2025","FBR_Asheville","03451500"
2024-10-05,3080.41666666667,"2024-2025","FBR_Asheville","03451500"
2024-10-06,2796.04166666667,"2024-2025","FBR_Asheville","03451500"
2024-10-07,2582.39583333333,"2024-2025","FBR_Asheville","03451500"
2024-10-08,2420,"2024-2025","FBR_Asheville","03451500"
2024-10-09,2267.8125,"2024-2025","FBR_Asheville","03451500"
2024-10-10,2124.375,"2024-2025","FBR_Asheville","03451500"
2024-10-11,2009.79166666667,"2024-2025","FBR_Asheville","03451500"
2024-10-12,1912.29166666667,"2024-2025","FBR_Asheville","03451500"
2024-10-13,1836.5625,"2024-2025","FBR_Asheville","03451500"
2024-10-14,1766.35416666667,"2024-2025","FBR_Asheville","03451500"
2024-10-15,1684.0625,"2024-2025","FBR_Asheville","03451500"
2024-10-16,1627.1875,"2024-2025","FBR_Asheville","03451500"
2024-10-17,1565,"2024-2025","FBR_Asheville","03451500"
2024-10-18,1513.85416666667,"2024-2025","FBR_Asheville","03451500"
2024-10-19,1485.10416666667,"2024-2025","FBR_Asheville","03451500"
2024-10-20,1445,"2024-2025","FBR_Asheville","03451500"
2024-10-21,1414.16666666667,"2024-2025","FBR_Asheville","03451500"
2024-10-22,1381.66666666667,"2024-2025","FBR_Asheville","03451500"
2024-10-23,1360,"2024-2025","FBR_Asheville","03451500"
2024-10-24,1334.89583333333,"2024-2025","FBR_Asheville","03451500"
2024-10-25,1296.25,"2024-2025","FBR_Asheville","03451500"
2024-10-26,1291.5625,"2024-2025","FBR_Asheville","03451500"
2024-10-27,1308.02083333333,"2024-2025","FBR_Asheville","03451500"
2024-10-28,1298.4375,"2024-2025","FBR_Asheville","03451500"
2024-10-29,1278.85416666667,"2024-2025","FBR_Asheville","03451500"
2024-10-30,1286.14583333333,"2024-2025","FBR_Asheville","03451500"
2024-10-31,1240.625,"2024-2025","FBR_Asheville","03451500"
2024-11-01,1220.9375,"2024-2025","FBR_Asheville","03451500"
2024-11-02,1220.3125,"2024-2025","FBR_Asheville","03451500"
2024-11-03,1203.6,"2024-2025","FBR_Asheville","03451500"
2024-11-04,1176.5625,"2024-2025","FBR_Asheville","03451500"
2024-11-05,1217.8125,"2024-2025","FBR_Asheville","03451500"
2024-11-06,1328.64583333333,"2024-2025","FBR_Asheville","03451500"
2024-11-07,1286.77083333333,"2024-2025","FBR_Asheville","03451500"
2024-11-08,1235.10416666667,"2024-2025","FBR_Asheville","03451500"
2024-11-09,1183.4375,"2024-2025","FBR_Asheville","03451500"
2024-11-10,1146.66666666667,"2024-2025","FBR_Asheville","03451500"
2024-11-11,1190,"2024-2025","FBR_Asheville","03451500"
2024-11-12,1225.9375,"2024-2025","FBR_Asheville","03451500"
2024-11-13,1145,"2024-2025","FBR_Asheville","03451500"
2024-11-14,1367.29166666667,"2024-2025","FBR_Asheville","03451500"
2024-11-15,1992.39583333333,"2024-2025","FBR_Asheville","03451500"
2024-11-16,1604.47916666667,"2024-2025","FBR_Asheville","03451500"
2024-11-17,1317.29166666667,"2024-2025","FBR_Asheville","03451500"
2024-11-18,1257.70833333333,"2024-2025","FBR_Asheville","03451500"
2024-11-19,1226.97916666667,"2024-2025","FBR_Asheville","03451500"
2024-11-20,1467.70833333333,"2024-2025","FBR_Asheville","03451500"
2024-11-21,1492.60416666667,"2024-2025","FBR_Asheville","03451500"
2024-11-22,1352.29166666667,"2024-2025","FBR_Asheville","03451500"
2024-11-23,1251.35416666667,"2024-2025","FBR_Asheville","03451500"
2024-11-24,1212.08333333333,"2024-2025","FBR_Asheville","03451500"
2024-11-25,1181.97916666667,"2024-2025","FBR_Asheville","03451500"
2024-11-26,1179.58333333333,"2024-2025","FBR_Asheville","03451500"
2024-11-27,1173.02083333333,"2024-2025","FBR_Asheville","03451500"
2024-11-28,1181.14583333333,"2024-2025","FBR_Asheville","03451500"
2024-11-29,1173.22916666667,"2024-2025","FBR_Asheville","03451500"
2024-11-30,1124.6875,"2024-2025","FBR_Asheville","03451500"
2024-12-01,1078.22916666667,"2024-2025","FBR_Asheville","03451500"
2024-12-02,1054.83870967742,"2024-2025","FBR_Asheville","03451500"
2024-12-03,1043.02083333333,"2024-2025","FBR_Asheville","03451500"
2024-12-04,1015.25,"2024-2025","FBR_Asheville","03451500"
2024-12-05,975,"2024-2025","FBR_Asheville","03451500"
2024-12-06,967.125,"2024-2025","FBR_Asheville","03451500"
2024-12-07,958.625,"2024-2025","FBR_Asheville","03451500"
2024-12-08,959.5,"2024-2025","FBR_Asheville","03451500"
2024-12-09,1012.84375,"2024-2025","FBR_Asheville","03451500"
2024-12-10,1164.27083333333,"2024-2025","FBR_Asheville","03451500"
2024-12-11,4351.875,"2024-2025","FBR_Asheville","03451500"
2024-12-12,5404.52631578947,"2024-2025","FBR_Asheville","03451500"
