"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","FBR_Blantyre","03443000",256.361979166667
2023,10,"2023-2024","FBR_Blantyre","03443000",232.844422043011
2023,11,"2023-2024","FBR_Blantyre","03443000",251.133097222222
2023,12,"2023-2024","FBR_Blantyre","03443000",888.792338709677
2024,1,"2023-2024","FBR_Blantyre","03443000",2055.21404569892
2024,2,"2023-2024","FBR_Blantyre","03443000",1052.0150862069
2024,3,"2023-2024","FBR_Blantyre","03443000",1381.12300389157
2024,9,"2024-2025","FBR_Blantyre","03443000",13959.8548055267
2024,10,"2024-2025","FBR_Blantyre","03443000",1020.44254032258
2024,11,"2024-2025","FBR_Blantyre","03443000",631.710944444444
2024,12,"2024-2025","FBR_Blantyre","03443000",1132.03024193548
2025,1,"2024-2025","FBR_Blantyre","03443000",885.404450025153
2025,2,"2024-2025","FBR_Blantyre","03443000",1084.53831845238
2025,3,"2024-2025","FBR_Blantyre","03443000",817.876409017713
