"date","mean_daily_discharge_cfs","time_period","name","ID_number"
2024-09-27,86597.9166666667,"2024-2025","FBR Hot Springs","03454500"
2024-09-28,80158.3333333333,"2024-2025","FBR Hot Springs","03454500"
2024-09-29,40890.625,"2024-2025","FBR Hot Springs","03454500"
2024-09-30,21276.0416666667,"2024-2025","FBR Hot Springs","03454500"
2024-10-01,12228.9583333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-02,8197.5,"2024-2025","FBR Hot Springs","03454500"
2024-10-03,5442.60416666667,"2024-2025","FBR Hot Springs","03454500"
2024-10-04,4474.375,"2024-2025","FBR Hot Springs","03454500"
2024-10-05,4038.4375,"2024-2025","FBR Hot Springs","03454500"
2024-10-06,3613.75,"2024-2025","FBR Hot Springs","03454500"
2024-10-07,3290.20833333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-08,3050.83333333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-09,2854.58333333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-10,2656.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-11,2506.5625,"2024-2025","FBR Hot Springs","03454500"
2024-10-12,2386.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-13,2291.25,"2024-2025","FBR Hot Springs","03454500"
2024-10-14,2229.0625,"2024-2025","FBR Hot Springs","03454500"
2024-10-15,2141.25,"2024-2025","FBR Hot Springs","03454500"
2024-10-16,2083.4375,"2024-2025","FBR Hot Springs","03454500"
2024-10-17,2017.70833333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-18,1958.85416666667,"2024-2025","FBR Hot Springs","03454500"
2024-10-19,1905.9375,"2024-2025","FBR Hot Springs","03454500"
2024-10-20,1868.75,"2024-2025","FBR Hot Springs","03454500"
2024-10-21,1831.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-22,1793.4375,"2024-2025","FBR Hot Springs","03454500"
2024-10-23,1761.25,"2024-2025","FBR Hot Springs","03454500"
2024-10-24,1749.6875,"2024-2025","FBR Hot Springs","03454500"
2024-10-25,1712.91666666667,"2024-2025","FBR Hot Springs","03454500"
2024-10-26,1682.8125,"2024-2025","FBR Hot Springs","03454500"
2024-10-27,1696.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-28,1695,"2024-2025","FBR Hot Springs","03454500"
2024-10-29,1658.33333333333,"2024-2025","FBR Hot Springs","03454500"
2024-10-30,1657.5,"2024-2025","FBR Hot Springs","03454500"
2024-10-31,1638.02083333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-01,1594.16666666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-02,1596.875,"2024-2025","FBR Hot Springs","03454500"
2024-11-03,1582.8,"2024-2025","FBR Hot Springs","03454500"
2024-11-04,1550.625,"2024-2025","FBR Hot Springs","03454500"
2024-11-05,1549.79166666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-06,1648.02083333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-07,1661.5625,"2024-2025","FBR Hot Springs","03454500"
2024-11-08,1614.79166666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-09,1553.85416666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-10,1498.22916666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-11,1515.20833333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-12,1590.41666666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-13,1526.25,"2024-2025","FBR Hot Springs","03454500"
2024-11-14,1558.64583333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-15,2259.47916666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-16,2130.10416666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-17,1731.875,"2024-2025","FBR Hot Springs","03454500"
2024-11-18,1621.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-19,1589.16666666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-20,1679.79166666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-21,1864.0625,"2024-2025","FBR Hot Springs","03454500"
2024-11-22,1766.14583333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-23,1635.41666666667,"2024-2025","FBR Hot Springs","03454500"
2024-11-24,1568.33333333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-25,1527.08333333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-26,1614.89583333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-27,1646.875,"2024-2025","FBR Hot Springs","03454500"
2024-11-28,1670.625,"2024-2025","FBR Hot Springs","03454500"
2024-11-29,1680.83333333333,"2024-2025","FBR Hot Springs","03454500"
2024-11-30,1571.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-01,1484.47916666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-02,1447.70833333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-03,1432.60416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-04,1415.41666666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-05,1380.3125,"2024-2025","FBR Hot Springs","03454500"
2024-12-06,1349.47916666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-07,1306.35416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-08,1362.1875,"2024-2025","FBR Hot Springs","03454500"
2024-12-09,1413.85416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-10,1521.25,"2024-2025","FBR Hot Springs","03454500"
2024-12-11,3437.1875,"2024-2025","FBR Hot Springs","03454500"
2024-12-12,6212.5,"2024-2025","FBR Hot Springs","03454500"
2024-12-13,4804.79166666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-14,2965.52083333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-15,2481.14583333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-16,2544.375,"2024-2025","FBR Hot Springs","03454500"
2024-12-17,2805.72916666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-18,2506.45833333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-19,2392.60416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-20,2231.77083333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-21,2086.875,"2024-2025","FBR Hot Springs","03454500"
2024-12-22,1957.08333333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-23,1868.125,"2024-2025","FBR Hot Springs","03454500"
2024-12-24,1806.35416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-25,1772.5,"2024-2025","FBR Hot Springs","03454500"
2024-12-26,1734.27083333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-27,1698.64583333333,"2024-2025","FBR Hot Springs","03454500"
2024-12-28,2206.97916666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-29,6211.35416666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-30,8588.22916666667,"2024-2025","FBR Hot Springs","03454500"
2024-12-31,7388.4375,"2024-2025","FBR Hot Springs","03454500"
2025-01-01,6160.72916666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-02,4167.08333333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-03,3386.45833333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-04,2998.4375,"2024-2025","FBR Hot Springs","03454500"
2025-01-05,2731.875,"2024-2025","FBR Hot Springs","03454500"
2025-01-06,2735,"2024-2025","FBR Hot Springs","03454500"
2025-01-07,3126.14583333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-08,2777.70833333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-09,2430.625,"2024-2025","FBR Hot Springs","03454500"
2025-01-10,2322.8125,"2024-2025","FBR Hot Springs","03454500"
2025-01-11,2388.85416666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-12,2291.5625,"2024-2025","FBR Hot Springs","03454500"
2025-01-13,2190.3125,"2024-2025","FBR Hot Springs","03454500"
2025-01-14,2120.9375,"2024-2025","FBR Hot Springs","03454500"
2025-01-15,2056.5625,"2024-2025","FBR Hot Springs","03454500"
2025-01-16,1978.22916666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-17,1980.625,"2024-2025","FBR Hot Springs","03454500"
2025-01-18,1980.3125,"2024-2025","FBR Hot Springs","03454500"
2025-01-19,2101.25,"2024-2025","FBR Hot Springs","03454500"
2025-01-20,2103.75,"2024-2025","FBR Hot Springs","03454500"
2025-01-21,1826.25,"2024-2025","FBR Hot Springs","03454500"
2025-01-22,1861.66666666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-23,1889.0625,"2024-2025","FBR Hot Springs","03454500"
2025-01-24,1854.16666666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-25,1883.85416666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-26,1836.45833333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-27,1770.52083333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-28,1747.1875,"2024-2025","FBR Hot Springs","03454500"
2025-01-29,1704.47916666667,"2024-2025","FBR Hot Springs","03454500"
2025-01-30,1664.58333333333,"2024-2025","FBR Hot Springs","03454500"
2025-01-31,1690.41666666667,"2024-2025","FBR Hot Springs","03454500"
