"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","FBR Hot Springs","03454500",774.388020833333
2023,10,"2023-2024","FBR Hot Springs","03454500",727.306451612903
2023,11,"2023-2024","FBR Hot Springs","03454500",777.495069444444
2023,12,"2023-2024","FBR Hot Springs","03454500",2321.89180107527
2024,1,"2023-2024","FBR Hot Springs","03454500",5417.0497311828
2024,2,"2023-2024","FBR Hot Springs","03454500",2975.38433908046
2024,3,"2023-2024","FBR Hot Springs","03454500",4193.19358710562
2024,9,"2024-2025","FBR Hot Springs","03454500",57230.7291666667
2024,10,"2024-2025","FBR Hot Springs","03454500",2906.93884408602
2024,11,"2024-2025","FBR Hot Springs","03454500",1653.31555555556
2024,12,"2024-2025","FBR Hot Springs","03454500",2703.69623655914
2025,1,"2024-2025","FBR Hot Springs","03454500",2379.2876344086
2025,2,"2024-2025","FBR Hot Springs","03454500",4076.10491071429
2025,3,"2024-2025","FBR Hot Springs","03454500",2369.57008185722
