"year","month","time_period","name","ID_number","mean_monthly_discharge_cfs"
2023,9,"2023-2024","FBR Marshall","03453500",775.625
2023,10,"2023-2024","FBR Marshall","03453500",742.700940860215
2023,11,"2023-2024","FBR Marshall","03453500",767.578652777778
2023,12,"2023-2024","FBR Marshall","03453500",2149.57627688172
2024,1,"2023-2024","FBR Marshall","03453500",4859.13642473118
2024,2,"2023-2024","FBR Marshall","03453500",2616.44037356322
2024,3,"2023-2024","FBR Marshall","03453500",3760.61474079269
2024,9,"2024-2025","FBR Marshall","03453500",48564.7670377725
2024,10,"2024-2025","FBR Marshall","03453500",2592.66896576118
2024,11,"2024-2025","FBR Marshall","03453500",1460.69791666667
2024,12,"2024-2025","FBR Marshall","03453500",2363.57190860215
2025,1,"2024-2025","FBR Marshall","03453500",2038.88407627319
2025,2,"2024-2025","FBR Marshall","03453500",3470.44642857143
2025,3,"2024-2025","FBR Marshall","03453500",2354.44981213097
