"date","mean_daily_discharge_cfs","time_period","name","ID_number"
2024-09-27,20120.25,"2024-2025","Swannanoa_Biltmore","03451000"
2024-09-28,9170,"2024-2025","Swannanoa_Biltmore","03451000"
2024-09-29,2736.11111111111,"2024-2025","Swannanoa_Biltmore","03451000"
2024-09-30,1666.14583333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-01,1199.0625,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-02,867.635416666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-03,663.427083333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-04,600.229166666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-05,543.239583333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-06,491.052083333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-07,450.135416666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-08,414.541666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-09,379.145833333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-10,344.625,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-11,318.15625,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-12,306.416666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-13,288.78125,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-14,270.114583333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-15,240.291666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-16,224.611111111111,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-17,198,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-18,188,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-19,177,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-20,168,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-21,161.666666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-22,154.333333333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-23,147,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-24,142,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-25,136,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-26,131.333333333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-27,131,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-28,128.666666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-29,125,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-30,122.666666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-10-31,117.666666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-01,113,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-02,109.333333333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-03,106,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-04,105,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-05,117.317073170732,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-06,109.7875,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-07,103.254166666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-08,97.0833333333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-09,94.4541666666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-10,89.31875,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-11,91.7114583333333,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-12,89.66875,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-13,83.4197916666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-14,136.013541666667,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-15,114.4125,"2024-2025","Swannanoa_Biltmore","03451000"
2024-11-16,92.7135416666667,"2024-2025","Swannanoa_Biltmore","03451000"
