"agency_cd","site_no","dateTime","discharge_cfs","tz_cd"
"USGS","03451000",2023-09-27,35.1,"America/New_York"
"USGS","03451000",2023-09-27 00:15:00,35.1,"America/New_York"
"USGS","03451000",2023-09-27 00:30:00,35.1,"America/New_York"
"USGS","03451000",2023-09-27 00:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 01:00:00,35.1,"America/New_York"
"USGS","03451000",2023-09-27 01:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 01:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 01:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 02:00:00,35.1,"America/New_York"
"USGS","03451000",2023-09-27 02:15:00,35.1,"America/New_York"
"USGS","03451000",2023-09-27 02:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 02:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 03:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 03:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 03:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 03:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 04:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 04:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 04:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 04:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 05:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 05:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 05:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 05:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 06:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 06:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 06:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 06:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 07:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 07:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 07:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 07:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 08:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 08:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 08:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 08:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 09:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 09:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 09:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 09:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 10:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 10:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 10:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 10:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 11:00:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 11:15:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 11:30:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 11:45:00,33.6,"America/New_York"
"USGS","03451000",2023-09-27 12:00:00,33.6,"America/New_York"
